"Date","Price","Open","High","Low","Vol.","Change %"
"09/03/2026","5,614.15","5,557.60","5,627.95","5,543.55","","-1.85%"
"06/03/2026","5,719.90","5,805.52","5,827.88","5,651.35","","-1.09%"
"05/03/2026","5,782.89","5,867.39","5,914.11","5,768.23","","-1.50%"
"04/03/2026","5,870.92","5,780.25","5,888.21","5,772.25","","1.72%"
"03/03/2026","5,771.73","5,937.33","5,937.33","5,736.80","","-3.59%"
"02/03/2026","5,986.93","6,086.79","6,086.79","5,972.27","","-2.47%"
"27/02/2026","6,138.41","6,165.30","6,180.30","6,113.33","","-0.38%"
"26/02/2026","6,161.56","6,176.51","6,199.78","6,133.74","","-0.19%"
"25/02/2026","6,173.32","6,133.01","6,176.87","6,133.01","","0.93%"
"24/02/2026","6,116.60","6,121.31","6,137.27","6,084.69","","0.04%"
"23/02/2026","6,113.92","6,113.77","6,151.96","6,100.47","","-0.28%"
"20/02/2026","6,131.31","6,072.25","6,140.95","6,059.64","","1.18%"
"19/02/2026","6,059.62","6,097.65","6,097.65","6,030.03","","-0.72%"
"18/02/2026","6,103.37","6,027.91","6,107.73","6,027.91","","1.35%"
"17/02/2026","6,021.85","5,975.43","6,026.54","5,954.14","","0.72%"
"16/02/2026","5,978.88","5,993.30","6,015.97","5,978.82","","-0.11%"
"13/02/2026","5,985.23","6,011.02","6,015.18","5,957.93","","-0.43%"
"12/02/2026","6,011.29","6,064.65","6,099.07","6,003.71","","-0.40%"
"11/02/2026","6,035.64","6,041.78","6,069.79","6,011.93","","-0.19%"
"10/02/2026","6,047.06","6,065.78","6,078.29","6,045.99","","-0.20%"
"09/02/2026","6,059.01","6,012.62","6,059.01","5,994.52","","1.01%"
"06/02/2026","5,998.40","5,925.91","6,001.97","5,904.33","","1.23%"
"05/02/2026","5,925.70","5,988.25","5,999.42","5,892.59","","-0.75%"
"04/02/2026","5,970.47","5,989.07","6,028.90","5,970.47","","-0.41%"
"03/02/2026","5,995.35","6,027.88","6,073.34","5,973.41","","-0.20%"
"02/02/2026","6,007.51","5,901.25","6,017.85","5,890.32","","1.00%"
"30/01/2026","5,947.81","5,887.92","5,965.26","5,887.92","","0.95%"
"29/01/2026","5,891.95","5,963.64","5,973.25","5,879.16","","-0.70%"
"28/01/2026","5,933.20","5,988.60","6,024.55","5,933.20","","-1.02%"
"27/01/2026","5,994.59","5,972.97","6,004.54","5,960.02","","0.62%"
"26/01/2026","5,957.80","5,948.97","5,971.36","5,926.30","","0.16%"
"23/01/2026","5,948.20","5,947.63","5,955.99","5,915.98","","-0.13%"
"22/01/2026","5,956.17","5,902.69","5,979.23","5,902.69","","1.25%"
"21/01/2026","5,882.88","5,894.28","5,899.24","5,822.92","","-0.16%"
"20/01/2026","5,892.08","5,910.48","5,910.48","5,836.54","","-0.57%"
"19/01/2026","5,925.82","5,974.89","5,974.89","5,919.41","","-1.72%"
"16/01/2026","6,029.45","6,039.76","6,045.61","6,003.67","","-0.19%"
"15/01/2026","6,041.14","6,006.03","6,053.68","6,004.35","","0.60%"
"14/01/2026","6,005.05","6,030.90","6,052.86","6,004.15","","-0.41%"
"13/01/2026","6,029.83","6,022.16","6,041.72","6,007.72","","0.22%"
"12/01/2026","6,016.30","5,995.21","6,018.96","5,968.49","","0.31%"
"09/01/2026","5,997.47","5,916.48","5,999.48","5,916.48","","1.58%"
"08/01/2026","5,904.32","5,913.28","5,935.09","5,896.72","","-0.32%"
"07/01/2026","5,923.57","5,926.54","5,934.99","5,911.70","","-0.14%"
"06/01/2026","5,931.79","5,926.73","5,943.21","5,895.76","","0.14%"
"05/01/2026","5,923.69","5,863.16","5,924.60","5,863.16","","1.25%"
"02/01/2026","5,850.38","5,785.83","5,862.29","5,780.85","","0.93%"
"30/12/2025","5,796.22","5,748.97","5,802.99","5,746.36","","0.77%"
"29/12/2025","5,751.71","5,752.16","5,766.30","5,734.91","","0.04%"
"23/12/2025","5,749.28","5,742.56","5,754.53","5,729.34","","0.10%"
"22/12/2025","5,743.69","5,754.39","5,770.99","5,733.79","","-0.29%"
"19/12/2025","5,760.35","5,742.14","5,772.35","5,728.65","","0.32%"
"18/12/2025","5,741.71","5,684.00","5,746.98","5,679.61","","1.06%"
"17/12/2025","5,681.67","5,735.21","5,745.87","5,678.53","","-0.63%"
"16/12/2025","5,717.83","5,755.82","5,757.35","5,710.21","","-0.60%"
"15/12/2025","5,752.52","5,724.16","5,763.21","5,724.16","","0.56%"
"12/12/2025","5,720.71","5,766.84","5,794.70","5,718.97","","-0.58%"
"11/12/2025","5,753.96","5,707.76","5,770.19","5,684.93","","0.80%"
"10/12/2025","5,708.12","5,710.70","5,722.77","5,692.59","","-0.18%"
"09/12/2025","5,718.32","5,724.71","5,753.48","5,708.53","","-0.13%"
"08/12/2025","5,725.59","5,717.65","5,734.73","5,711.00","","0.03%"
"05/12/2025","5,723.93","5,726.64","5,749.06","5,723.91","","0.10%"
"04/12/2025","5,718.08","5,709.83","5,731.94","5,704.44","","0.41%"
"03/12/2025","5,694.56","5,696.25","5,725.32","5,676.92","","0.15%"
"02/12/2025","5,686.17","5,667.41","5,710.83","5,665.29","","0.33%"
"01/12/2025","5,667.48","5,659.91","5,672.08","5,622.95","","-0.01%"
"28/11/2025","5,668.17","5,655.16","5,676.82","5,641.33","","0.27%"
"27/11/2025","5,653.17","5,650.47","5,665.02","5,638.39","","-0.04%"
"26/11/2025","5,655.58","5,583.82","5,655.58","5,583.82","","1.47%"
"25/11/2025","5,573.91","5,528.61","5,581.92","5,510.48","","0.82%"
"24/11/2025","5,528.67","5,523.63","5,562.01","5,504.96","","0.25%"
"21/11/2025","5,515.09","5,537.67","5,539.49","5,473.88","","-0.98%"
"20/11/2025","5,569.92","5,569.47","5,625.21","5,569.47","","0.50%"
"19/11/2025","5,542.05","5,532.91","5,584.35","5,506.10","","0.13%"
"18/11/2025","5,534.71","5,610.75","5,610.75","5,509.10","","-1.88%"
"17/11/2025","5,640.94","5,692.13","5,701.64","5,629.34","","-0.93%"
"14/11/2025","5,693.77","5,731.16","5,731.16","5,631.18","","-0.85%"
"13/11/2025","5,742.79","5,795.92","5,818.07","5,740.97","","-0.77%"
"12/11/2025","5,787.31","5,734.68","5,804.66","5,734.68","","1.08%"
"11/11/2025","5,725.70","5,670.94","5,730.99","5,670.94","","1.08%"
"10/11/2025","5,664.46","5,608.67","5,677.49","5,608.67","","1.76%"
"07/11/2025","5,566.53","5,617.82","5,633.75","5,554.53","","-0.80%"
"06/11/2025","5,611.18","5,665.59","5,672.37","5,606.57","","-1.02%"
"05/11/2025","5,669.13","5,619.21","5,681.61","5,605.47","","0.16%"
"04/11/2025","5,660.20","5,646.20","5,660.61","5,577.21","","-0.34%"
"03/11/2025","5,679.25","5,664.18","5,705.77","5,656.15","","0.30%"
"31/10/2025","5,662.04","5,695.85","5,697.59","5,654.30","","-0.65%"
"30/10/2025","5,699.18","5,702.77","5,716.02","5,667.10","","-0.12%"
"29/10/2025","5,705.81","5,701.24","5,734.28","5,691.82","","0.03%"
"28/10/2025","5,704.35","5,696.05","5,712.17","5,686.58","","-0.12%"
"27/10/2025","5,711.06","5,691.89","5,712.78","5,684.66","","0.64%"
"24/10/2025","5,674.50","5,685.52","5,694.78","5,650.42","","0.11%"
"23/10/2025","5,668.33","5,651.90","5,673.11","5,639.82","","0.52%"
